X,Y,OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,ORIG_FID,GlobalID
145.724001308315394,15.215015174455337,834,AMME,LEGACY: contact allen_mccoy@nps.gov for additional information,American Memorial Park,2015-04-22T00:00:00.000Z,MP,PW,1879026,Park,Legacy, ,American Memorial Park,0,970b4ce3-aa4f-4f62-92cc-44e3c610c925
-122.687715904690862,48.21401400265372,835,EBLA,LEGACY: contact allen_mccoy@nps.gov for additional information,Ebey's Landing National Historical Reserve,2015-04-22T00:00:00.000Z,WA,PW,1888910,National Historical Reserve,Legacy, ,Ebey's Landing,1,a5957fb4-976d-4f9c-b050-ca232173ca64
-118.715153590143174,47.911637502205956,836,LARO,LEGACY: contact allen_mccoy@nps.gov for additional information,Lake Roosevelt National Recreation Area,2015-04-22T00:00:00.000Z,WA,PW,1531834,National Recreation Area,Legacy, ,Lake Roosevelt,2,617d43a6-89ee-4857-8138-7c8f98c5e129
-124.067632444960225,46.286182536374788,837,LEWI,LEGACY: contact allen_mccoy@nps.gov for additional information,Lewis and Clark National Historical Park,2015-04-22T00:00:00.000Z,WA,PW,2055170,National Historical Park,Legacy, ,Lewis and Clark,3,d1108a0a-cde5-4e30-aaff-19bb475c66ad
-123.618345337701712,47.794565485540041,838,OLYM,LEGACY: contact allen_mccoy@nps.gov for additional information,Olympic National Park,2015-04-22T00:00:00.000Z,WA,PW,1530459,National Park,Legacy, ,Olympic,4,841dd353-cbd7-4e96-b540-c69c70fc5636
-118.720179620140371,34.083770845322654,839,SAMO,LEGACY: contact denise_kamradt@nps.gov for additional information,Santa Monica Mountains National Recreation Area,2015-04-22T00:00:00.000Z,CA,PW,277263,National Recreation Area,Legacy, ,Santa Monica Mountains,5,da5c2272-f3b6-4f2c-b3e0-a33eb64cd9c7
-115.352313901133215,36.406024314409102,840,TUSK,LEGACY: contact allen_mccoy@nps.gov for additional information,Tule Springs Fossil Beds National Monument,2015-04-22T00:00:00.000Z,NV,PW,2767392,National Monument,Legacy, ,Tule Springs Fossil Beds,6,9aa64383-f93b-4b7d-93fe-3d3e5bf14d84
-68.244109986164602,44.350731795246091,841,ACAD,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Acadia National Park,2013-12-18T00:00:00.000Z,ME,NE,578853,National Park,Legacy, , ,7,035ead2e-dd1b-4eca-be77-26e0f3e12cea
-155.506758655115988,19.131537048151525,842,ALKA,Loaded from Sandy Margriter's dataset,Ala Kahakai National Historic Trail,2013-12-18T00:00:00.000Z,HI,PW,2035608,National Historic Trail,Legacy, , ,8,8da72c0c-a42c-4dce-9e27-c8b8970d3ce8
-101.295934624247849,29.574790565385591,843,AMIS,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Amistad National Recreation Area,2013-12-18T00:00:00.000Z,TX,IM,1329499,National Recreation Area,Legacy, , ,9,d327638e-5c3b-4349-9f4e-ed81770f1b31
