place,lat,long
 city,lat,lng
 Auckland,-36.850013,174.7649808
 Newcastle,55.00037539,-1.59999048
 Guatemala,14.62113466,-90.52696558
 Genoa,44.40998822,8.930038614
 Daqing,46.57995913,125.0000081
 Pingxiang,27.62000531,113.8500427
 Geneva,46.21000755,6.140028034
 Munich,48.12994204,11.57499345
 Birmingham,33.53000633,-86.82499516
 Paris,48.86669293,2.333335326
 Tokyo,35.68501691,139.7514074
 London,37.12888226,-84.08335372
 Singapore,1.293033466,103.8558207
 Shanghai,31.21645245,121.4365047
 Beijing,39.92889223,116.3882857
 Angeles,15.14505617,120.5450862
 San,13.30041424,-4.900047446
 Boston,42.32996014,-71.07001367
 Enterprise,31.32781516,-85.84399561
 Bangkok,13.74999921,100.5166447
 Jaipur,26.92113324,75.80998734
 Seoul,37.5663491,126.999731
 Wuhan,30.58003135,114.270017
 Shenzhen,22.55237051,114.1221231
 Johannesburg,-26.17004474,28.03000972
 Accra,5.550034606,-0.21671574
 Tehran,35.67194277,51.42434403
 Turin,45.07038719,7.669960489
 Mobile,30.68002525,-88.04998499
 Emerald,-23.51222247,148.1673278
 Vancouver,45.63030133,-122.6399925
 Cardiff,51.49999473,-3.22500757
 Keelung,25.13325787,121.7332824
